139,CSI,48:4A:E9:20:EE:80,-69,128,-42,96,13,0,24,-19,25,-17,25,-16,24,-14,22,-12,19,-11,16,-11,13,-12,10,-15,8,-17,6,-20,5,-23,6,-26,8,-29,10,-31,13,-30,16,-28,17,-25,18,-22,17,-18,16,-15,13,-13,9,-12,6,-12,5,-13,1,-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,19,1,18,2,17,2,15,2,15,1,14,-1,14,-2,15,-4,16,-6,19,-8,21,-8,23,-7,25,-7,26,-6,26,-4,25,-3,24,-2,22,-3,21,-4,20,-6,18,-7,16,-9,17,-12,18,-15,19,-18,19,-21
172,CSI,48:4A:E9:20:EE:81,-68,128,-43,80,13,0,-9,-31,-7,-31,-5,-30,-5,-29,-4,-27,-4,-24,-6,-21,-7,-18,-10,-16,-13,-13,-18,-12,-22,-13,-24,-14,-25,-17,-25,-20,-24,-23,-23,-25,-19,-25,-16,-25,-13,-24,-11,-20,-10,-16,-10,-12,-11,-9,-12,-7,-3,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,-5,11,-17,11,-16,11,-14,10,-13,8,-13,6,-13,4,-14,2,-17,1,-20,1,-22,2,-24,3,-25,5,-26,6,-28,7,-28,8,-26,8,-24,7,-22,5,-21,3,-20,1,-20,-2,-21,-5,-22,-8,-23,-9,-25,-11,-27
213,CSI,48:4A:E9:20:EE:82,-69,128,-44,64,13,0,14,26,12,26,11,25,9,24,8,22,8,20,9,17,10,14,11,10,13,8,16,6,20,5,23,6,25,8,26,10,27,13,25,15,23,17,19,16,15,16,13,15,12,12,11,8,11,5,10,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,4,-8,16,-9,14,-9,14,-9,13,-7,12,-5,12,-2,12,0,14,1,16,1,18,1,20,1,22,0,24,-2,25,-3,24,-4,24,-5,23,-3,21,-2,20,0,18,2,17,5,16,8,17,10,17,13,19,15,21
245,CSI,48:4A:E9:1E:0C:C0,-88,128,-43,80,13,0,-17,-2,-19,-1,-18,1,-18,1,-21,2,-20,3,-14,0,-10,0,-8,1,-5,-1,0,-2,5,2,5,1,3,-3,4,-4,6,-2,7,-1,6,-2,4,-5,2,-5,3,-4,3,-2,0,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4,0,-15,1,-14,-1,-11,-4,-7,-4,-4,-3,-2,-1,1,-1,5,-3,8,-5,11,-4,13,-1,14,1,16,2,22,0,26,0,22,-1,16,-4,12,-3,9,2,7,4,7,2,5,0,2,0,-4,-3,-11,-5,-15,-3
276,CSI,48:4A:E9:20:BE:E0,-92,128,-43,80,13,0,-10,-8,-11,-9,-12,-7,-10,-8,-7,-8,-6,-6,-5,-7,-4,-9,-7,-9,-9,-9,-7,-10,-8,-9,-8,-9,-2,-11,-2,-12,-7,-11,-5,-8,-3,-8,-4,-10,-3,-11,-2,-10,-3,-8,-2,-5,-1,-5,-1,-10,-1,-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,2,-1,10,1,8,2,8,1,7,1,6,0,3,-3,2,-3,2,-3,0,-8,-1,-12,-1,-12,-1,-11,-2,-14,-1,-14,-1,-9,-2,-8,-2,-8,-1,-6,-2,-7,-4,-9,-4,-10,-6,-10,-8,-11,-9,-12,-9,-13,-10
308,CSI,48:4A:E9:20:BE:E1,-90,128,-44,64,13,0,5,9,5,12,6,12,5,10,3,9,2,10,2,14,2,15,0,13,0,12,3,14,5,13,5,11,6,13,5,14,2,12,2,11,4,9,3,8,-1,8,-4,7,0,7,2,6,0,4,-1,3,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,-1,9,-5,9,-5,9,-4,6,-4,0,-4,-2,-3,0,-1,1,4,3,8,5,8,6,6,7,5,6,5,6,6,8,6,6,6,3,4,1,5,0,10,3,12,5,10,2,8,4,10,6,14,3,15,1,12
339,CSI,48:4A:E9:1F:F5:60,-87,128,-43,80,13,0,-3,16,-1,12,-3,10,-3,7,-3,0,-2,-8,-4,-12,-3,-15,-1,-19,-1,-20,-2,-24,-1,-29,0,-29,1,-24,2,-22,2,-22,2,-20,1,-16,4,-12,5,-6,4,-2,5,1,5,6,5,10,4,14,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-2,5,-7,4,-5,3,-6,3,-9,3,-9,3,-10,2,-10,3,-11,3,-11,3,-11,2,-12,0,-8,-1,-6,-1,-2,0,2,0,5,-1,6,-3,10,-6,15,-5,21,-3,25,-5,24,-10,24,-11,25,-10,23,-7,22
371,CSI,48:4A:E9:20:BE:E0,-91,128,-43,80,13,0,-7,-4,-8,-2,-8,0,-9,-3,-9,-7,-4,-7,-4,-6,-8,-7,-11,-8,-12,-4,-9,1,-8,2,-11,0,-12,0,-12,-1,-11,-1,-8,0,-6,-1,-7,-2,-7,-2,-6,-2,-4,-3,-4,-5,-6,-4,-5,-4,-1,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,0,-8,4,-8,5,-9,5,-6,5,-2,5,-1,4,-1,3,0,3,0,4,1,2,-1,-1,-5,-2,-6,-2,-7,-2,-7,-3,-7,-6,-9,-8,-8,-6,-9,0,-11,-1,-12,-7,-12,-7,-12,-5,-12,-6,-12,-7,-11,-5
402,CSI,48:4A:E9:20:BE:E2,-90,128,-42,96,13,0,-7,-5,-8,-5,-7,-4,-3,-4,-1,-6,-3,-8,-5,-10,-3,-10,-4,-9,-8,-7,-9,-7,-8,-11,-8,-9,-8,-5,-6,-6,-6,-6,-5,-4,-2,-6,-2,-9,-2,-8,-1,-5,-1,-5,0,-7,2,-9,4,-8,1,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,7,6,5,5,5,4,4,4,3,3,6,1,7,0,4,-2,1,-4,0,-5,1,-5,3,-5,4,-7,3,-9,-2,-10,-4,-9,-3,-10,-2,-11,-3,-8,-5,-7,-5,-8,-5,-10,-4,-10,-3,-10,-3,-10,-2
444,CSI,48:4A:E9:20:EE:80,-71,128,-42,96,13,0,-26,-28,-25,-26,-23,-24,-21,-21,-18,-18,-13,-13,-9,-8,-4,-3,3,3,8,10,12,16,16,22,19,27,20,32,20,36,18,38,16,38,13,36,10,32,7,27,4,20,2,13,1,6,0,-1,0,-6,0,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5,2,-16,8,-16,9,-14,9,-10,9,-5,8,-1,8,4,8,10,9,15,9,19,10,23,10,25,11,26,11,27,12,26,11,25,10,21,8,17,6,12,3,6,-1,0,-5,-5,-8,-10,-12,-16,-16,-20,-19,-23,-22
